Run ID,1234,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A01,0.0002,,Sample 1,Sample 1,80,80,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A02,0.0001,,Sample 1,Sample 1,40,40,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A03,5.00E-05,,Sample 1,Sample 1,20,20,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A04,2.50E-05,,Sample 1,Sample 1,10,10,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A05,1.25E-05,,Sample 1,Sample 1,5,5,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A06,6.25E-06,,Sample 1,Sample 1,2.5,2.5,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A07,3.13E-06,,Sample 1,Sample 1,1.25,1.25,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A08,1.56E-06,,Sample 1,Sample 1,0.625,0.625,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A09,7.81E-07,,Sample 1,Sample 1,0.3125,0.3125,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A10,3.91E-07,,Sample 1,Sample 1,0.15625,0.15625,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,A11,1.95E-07,,Sample 1,Sample 1,0.078125,0.078125,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B01,0.0002,,Sample 1,Sample 1,80,80,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B02,0.0001,,Sample 1,Sample 1,40,40,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B03,5.00E-05,,Sample 1,Sample 1,20,20,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B04,2.50E-05,,Sample 1,Sample 1,10,10,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B05,1.25E-05,,Sample 1,Sample 1,5,5,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B06,6.25E-06,,Sample 1,Sample 1,2.5,2.5,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B07,3.13E-06,,Sample 1,Sample 1,1.25,1.25,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B08,1.56E-06,,Sample 1,Sample 1,0.625,0.625,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B09,7.81E-07,,Sample 1,Sample 1,0.3125,0.3125,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B10,3.91E-07,,Sample 1,Sample 1,0.15625,0.15625,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,B11,1.95E-07,,Sample 1,Sample 1,0.078125,0.078125,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C01,0.0002,,Sample 2,Sample 2,80,80,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C02,0.0001,,Sample 2,Sample 2,40,40,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C03,5.00E-05,,Sample 2,Sample 2,20,20,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C04,2.50E-05,,Sample 2,Sample 2,10,10,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C05,1.25E-05,,Sample 2,Sample 2,5,5,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C06,6.25E-06,,Sample 2,Sample 2,2.5,2.5,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C07,3.13E-06,,Sample 2,Sample 2,1.25,1.25,,,,,
SourcePlate[1],,,,0.05,,DestinationPlate[1],,384Wells,C08,1.56E-06,,Sample 2,Sample 2,0.625,0.625,,,,,
