Run ID,3360,,,,,,,,,,,,,,,,,,,
Run Date/Time,04.01.2017 09:45,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,01.05.2006,,,,,,,,,,,,,,,,,,,
Protocol Name,2017-01-04 - Protocol - OICR library round 3 (17-25) - MLLT1A - SingleShot 50nl transfer - TC.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Sourceplate[17],,384LDV_DMSO,A3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,E1,4.95E-05,M,XST00007100a,Sample 33,50,50,10.239,74.31,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,A3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,F1,4.95E-05,M,XST00007100a,Sample 33,50,50,10.189,74.31,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,C3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,B4,4.95E-05,M,XST00007139a,Sample 35,50,50,9.895,89.491,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,C3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,A4,4.95E-05,M,XST00007139a,Sample 35,50,50,9.845,89.491,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,D3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,I5,4.95E-05,M,XST00007159a,Sample 36,50,50,10.221,90.303,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,D3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,J5,4.95E-05,M,XST00007159a,Sample 36,50,50,10.171,90.303,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,E3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Q6,4.95E-05,M,XST00007179a,Sample 37,50,50,10.022,90.195,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,E3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,R6,4.95E-05,M,XST00007179a,Sample 37,50,50,9.972,90.195,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,F3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Y7,4.95E-05,M,XST00007198a,Sample 38,50,50,10.186,70,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,F3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Z7,4.95E-05,M,XST00007198a,Sample 38,50,50,10.136,70,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,H3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,V10,4.95E-05,M,XST00007238a,Sample 40,50,50,10.026,90.679,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,H3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,U10,4.95E-05,M,XST00007238a,Sample 40,50,50,9.976,90.679,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,K3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,R14,4.95E-05,M,XST00007298a,Sample 43,50,50,10.18,90.824,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,K3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Q14,4.95E-05,M,XST00007298a,Sample 43,50,50,10.13,90.824,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,N3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Q18,4.95E-05,M,XST00007358a,Sample 46,50,50,10.162,90.296,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,N3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,R18,4.95E-05,M,XST00007358a,Sample 46,50,50,10.112,90.296,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,O3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Y19,4.95E-05,M,XST00007378a,Sample 47,50,50,10.402,89.47,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,O3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Z19,4.95E-05,M,XST00007378a,Sample 47,50,50,10.352,89.47,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,L3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Z15,4.95E-05,M,XST00007318a,Sample 44,50,50,10.179,90.888,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,L3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,Y15,4.95E-05,M,XST00007318a,Sample 44,50,50,10.129,90.888,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,J3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,J13,4.95E-05,M,XST00007278a,Sample 42,50,50,10.142,90.957,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,J3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,I13,4.95E-05,M,XST00007278a,Sample 42,50,50,10.092,90.957,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,I3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,B12,4.95E-05,M,XST00007258a,Sample 41,50,50,10.184,88.646,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,I3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,A12,4.95E-05,M,XST00007258a,Sample 41,50,50,10.134,88.646,Percent,DMSO,
Sourceplate[17],,384LDV_DMSO,G3,0.005,M,Destination Plate[1],,Greiner_1536HiBasePS_782096,A9,4.95E-05,M,XST00007218a,Sample 39,50,50,10.064,90.465,Percent,DMSO,
